Timestamp,Symbol,Open,High,Low,Close,Volume
2025-03-28 01:00:00-07:00,AAPL,222.31,222.31,222.0,222.0,0.0
2025-03-28 01:01:00-07:00,AAPL,222.23,222.23,222.23,222.23,0.0
2025-03-28 01:02:00-07:00,AAPL,222.59,222.7,222.58,222.7,0.0
2025-03-28 01:03:00-07:00,AAPL,222.69,222.7,222.69,222.69,0.0
2025-03-28 01:04:00-07:00,AAPL,222.6,222.6,222.59,222.6,0.0
2025-03-28 01:05:00-07:00,AAPL,222.64,222.64,222.64,222.64,0.0
2025-03-28 01:06:00-07:00,AAPL,222.58,222.71,222.58,222.71,0.0
2025-03-28 01:07:00-07:00,AAPL,222.7,222.71,222.7,222.71,0.0
2025-03-28 01:08:00-07:00,AAPL,222.59,222.59,222.58,222.58,0.0
2025-03-28 01:09:00-07:00,AAPL,222.59,222.59,222.58,222.58,0.0
2025-03-28 01:10:00-07:00,AAPL,222.65,222.65,222.58,222.58,0.0
2025-03-28 01:12:00-07:00,AAPL,222.58,222.58,222.58,222.58,0.0
2025-03-28 01:13:00-07:00,AAPL,222.59,222.59,222.59,222.59,0.0
2025-03-28 01:15:00-07:00,AAPL,222.59,222.59,222.59,222.59,0.0
2025-03-28 01:16:00-07:00,AAPL,222.61,222.61,222.45,222.52,0.0
2025-03-28 01:18:00-07:00,AAPL,222.41,222.41,222.26,222.26,0.0
2025-03-28 01:19:00-07:00,AAPL,222.36,222.46,222.36,222.46,0.0
2025-03-28 01:20:00-07:00,AAPL,222.47,222.47,222.47,222.47,0.0
2025-03-28 01:22:00-07:00,AAPL,222.39,222.39,222.38,222.38,0.0
2025-03-28 01:25:00-07:00,AAPL,222.38,222.38,222.38,222.38,0.0
2025-03-28 01:26:00-07:00,AAPL,222.4,222.4,222.38,222.38,0.0
2025-03-28 01:27:00-07:00,AAPL,222.3,222.3,222.3,222.3,0.0
2025-03-28 01:28:00-07:00,AAPL,222.3,222.34,222.26,222.34,0.0
2025-03-28 01:29:00-07:00,AAPL,222.33,222.33,222.33,222.33,0.0
2025-03-28 01:33:00-07:00,AAPL,222.18,222.2,222.02,222.11,0.0
2025-03-28 01:34:00-07:00,AAPL,222.05,222.05,222.05,222.05,0.0
2025-03-28 01:35:00-07:00,AAPL,222.12,222.16,222.12,222.16,0.0
2025-03-28 01:36:00-07:00,AAPL,222.16,222.22,222.15,222.15,0.0
2025-03-28 01:37:00-07:00,AAPL,222.18,222.19,222.18,222.19,0.0
2025-03-28 01:38:00-07:00,AAPL,222.19,222.22,222.19,222.22,0.0
